rank,count,english,russian
1,1222421 (see also ya),you,ты
2,1052546,I or I.,Я или I.
3,823661,to,к
4,770161,the,то
5,563578,a or A.,а или А.
6,480214,and,и
7,413389,that,тот
8,388320,it,Это
9,332038,of,из
10,312326,me,мне
11,285826,what,какой
12,282222,is,является
13,266544,in,в
14,249860,this,это
15,241548,know,знать
16,230304,I'm,я
17,216535,for,для
18,212463,no,нет
19,210523,have,имеют
20,210429,my,мой
21,206663,don't,нет
22,196810,just,только
23,195058,not,нет
24,194183,do,делать
25,191823,be,быть
26,191646,on,на
27,188060,your,ваш
28,184170,was,был
29,181863,we,мы
30,176919,it's,это
31,169586,with,с
32,169088,so,так
33,159109,but,но
34,158281,all,все
35,155201,well,хорошо
36,152650,are,являются
37,150009,he,он
38,148780 (see also o),oh,ой
39,142750,about,о
40,137218,right,верно
41,135738,you're,Вы
42,126849,get,получать
43,124368,here,здесь
44,121867,out,вне
45,121435,going,идущий
46,121194,like,как
47,121148 (see also ya),yeah,Ага
48,120553,if,если
49,116265,her,ее
50,110122,she,она
51,107652,can,может
52,103826,up,вверх
53,102822,want,хотеть
54,102403,think,считать
55,102146,that's,это
56,100909,now,сейчас же
57,100905,go,идти
58,96536,him,его
59,93433,at,в
60,87908,how,как
61,86085,got,есть
62,85662,there,там
63,84057,one,один
64,79053,did,сделал
65,78554,why,Зачем
66,75968,see,видеть
67,72807,come,приехать
68,72798,good,хороший
69,69192,they,Они
70,68311,really,В самом деле
71,67977,as,в виде
72,67718,would,было бы
73,67262,look,Смотреть
74,65117,when,когда
75,64891,time,время
76,64811,will,буду
77,63509,okay,хорошо
78,63115,back,назад
79,62602,can't,неверно
80,61504,mean,иметь в виду
81,61352,tell,рассказать
82,61169,I'll,Больной
83,59972,from,из
84,58699,hey,Привет
85,58127,were,мы
86,57551,he's,он
87,57285,could,мог
88,56732,didn't,не
89,55828,yes,да
90,55502,his,его
91,55235,been,был
92,55062,or,или
93,54736,something,что-то
94,53799,who,ВОЗ
95,53566,because,потому что
96,53265,some,некоторые
97,52561,had,имел
98,52197,then,потом
99,50213,say,сказать
100,49968,ok,хорошо
101,49868,take,брать
102,49832,an,ан
103,49794,way,способ
104,49492,us,нас
105,47885,little,маленький
106,46154,make,делать
107,46040,need,нужно
108,45124,gonna,собираюсь
109,44728,never,никогда
110,43491,we're,были
111,43360,too,слишком
112,42994,love,любовь
113,42795,she's,она
114,42160,I've,У меня есть
115,40757,sure,Конечно
116,40366,them,их
117,40239,more,более
118,40001,over,над
119,39896,our,наш
120,39854,sorry,Прости
121,39330,where,куда
122,39305,what's,что
123,38858,let,позволять
124,38121,thing,предмет
125,37814,am,являюсь
126,37653,maybe,может быть
127,37644,down,вниз
128,37355,man,человек
129,37145,has,имеет
130,36435,uh,Эм-м-м
131,36140,very,очень
132,35500,by,по
133,35242,there's,Там есть
134,34829,should,должен
135,34635,anything,что-нибудь
136,34568,said,сказал
137,34270,much,много
138,34203,any,любой
139,34192,life,жизнь
140,33895,even,даже
141,33887,off,выключенный
142,33628,please,пожалуйста
143,32831,doing,делает
144,31728,thank,благодарить
145,31073,give,дать
146,30599,only,Только
147,30211,thought,мысль
148,29825,help,помощь
149,29788,two,два
150,28834,talk,разговаривать
151,28517,people,люди
152,28502,god,Бог
153,28308,still,еще
154,27920,wait,ждать
155,27354,into,в
156,26757,find,найти
157,26592,nothing,ничего такого
158,26472,again,опять таки
159,26305,things,вещи
160,26132,let's,Давайте
161,25926,doesn't,нет
162,25880,call,вызов
163,25594,told,сказал
164,25435,great,здорово
165,25329,before,перед
166,25282,better,лучше
167,25127,ever,Когда-либо
168,24900,night,ночь
169,24815,than,чем
170,24543,away,далеко
171,24509,first,первый
172,24210,believe,полагать
173,23936,other,Другой
174,23850,feel,Чувствовать
175,23714,everything,все
176,23683,work,работай
177,23483,you've,у вас есть
178,22993,fine,отлично
179,22901,home,дом
180,22182,after,после
181,21965,last,последний
182,21929,these,эти
183,21860,day,день
184,21842,keep,хранить
185,21731,does,делает
186,21617,put,положил
187,21591,around,вокруг
188,21341,stop,останавливаться
189,21309,they're,они
190,21221,I'd,Идентификатор
191,21126,guy,парень
192,21086,long,долго
193,20796,isn't,нет
194,20581,always,всегда
195,20142,listen,Слушать
196,20074,wanted,в розыске
197,20053,Mr.,Мистер.
198,19953,guys,ребята
199,19871,huh,Хм
200,19849,those,те
201,19520,big,большой
202,19421,lot,много
203,19282,happened,случилось
204,19233,thanks,Благодарность
205,19208,won't,не
206,19173,trying,пытающийся
207,19031,kind,Добрый
208,19025,wrong,неправильно
209,18903,through,через
210,18875,talking,разговор
211,18872,made,сделали
212,18860,new,новый
213,18666,being,существование
214,18473,guess,предполагать
215,18285,hi,Здравствуй
216,18042,care,уход
217,17636,bad,плохой
218,17514,mom,Мама
219,17266,remember,воспоминание
220,17199,getting,получающий
221,17077,we'll,хорошо
222,17074,together,все вместе
223,17003,dad,папа
224,16978,leave,покинуть
225,16855,mother,мама
226,16796,place,место
227,16724,understand,понимать
228,16615,wouldn't,не будет
229,16585,actually,фактически
230,16523,hear,слышать
231,16514,baby,детка
232,16275,nice,отлично
233,16233,father,отец
234,16214,else,еще
235,16167,stay,оставаться
236,16010,done,сделано
237,16007,wasn't,не было
238,15907,their,их
239,15866,course,курс
240,15774,might,мог
241,15364,mind,разум
242,15350,every,каждый
243,15322,enough,достаточно
244,15235,try,пытаться
245,15191,hell,ад
246,15142,came,пришел
247,15035,someone,кто-то
248,14958,you'll,ты будешь
249,14849,own,собственный
250,14765,family,семья
251,14623,whole,весь
252,14541,another,Другой
253,14458,house,дом
255,14291,yourself,сами
256,14203,idea,идея
257,14194,ask,просить
258,14094,best,Лучший
259,14089,must,должен
260,14082,coming,приходящий
